Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Magveda
","
diMag
","Griežlės g. 35-3, Užliedžių k., LT-54303 Kauno r.","
Veiklos sritys: apsaugos sistemos patalpoms; kompiuterių programinės įrangos kūrimas; telekomunikacijos, ryšio priemonės; vaizdo stebėjimo sistemos.
","
APIE ĮMONĘ
UAB MAGVEDA įkurta 2008-ųjų metų pradžioje ir sėkmingai dirbdama įgyvendino daug projektų, bei suformavo didelį klientų ratą. Mes siekiame nuolat gerinti rezultatus, užtikrinti gerą produkto kokybę ir atitikti kliento reikalavimus. Kiti UAB MAGVEDA e-projektai:
seklys.lt
jpg.lt
",https://rekvizitai.vz.lt/imone/uab_magveda/
"Manginta
","
","Lazdynų g. 29, LT-89146 Mažeikiai.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Saugos tarnybai UAB „Manginta“ išduota ginkluota asmens ir turto saugos licencija. Saugos tarnyba „Manginta“ diegia visas šiuolaikiškas technines saugos priemones ir teikia elektronines saugos paslaugas visoje Lietuvoje. Saugos tarnybos ""Manginta"" greitojo reagavimo ekipažai budi Mažeikiuose, Telšiuose, Plungėje...
",https://rekvizitai.vz.lt/imone/uab_manginta/
"Skaitmeninių sprendimų grupė
","
hikvision, motorline, Eldes, paradox, DSC
","Mindaugo g. 42, LT-03211 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; kompiuterių remontas, it paslaugos; komunalinė technika; telekomunikacijos, ryšio priemonės.
","
Įmonė užsiima, vaizdo stebėjimo ( IP, analoginių, SDI, valdomų ) kamerų prekyba, bei instaliacija įvairaus masto objektuose. Diegiame stebėjimo kameras daugiabučiams nemokamai sutvarkome reikiamus dokumentus su Valstybinė duomenų apsaugos inspekcija. Tai pat prekiaujame ir diegiame praėjimo kontrolė ( nuo...
",https://rekvizitai.vz.lt/imone/skaitmeniniu_sprendimu_grupe/
"SP industries
","
","Chemijos g. 19A, LT-51332 Kaunas.","
Veiklos sritys: matavimo prietaisai; apsaugos sistemos patalpoms; elektros instaliacijos darbai; šildymas, įrenginiai; ventiliacija, kondicionavimas.
","
UAB ""SP industries"" - Įrengia pastatų inžinerines sistemas nuo projektavimo iki galutinės įrangos sumontavimo. Montuojame elektros, silpnų srovių, automatikos, oro kondicionavimo sistemas. Turėdami ilgametę patirtį, profesionalius meistrus bei visą reikalingą įrangą – mūsų klientams galime pasiūlyti ir kokybiškai...
",https://rekvizitai.vz.lt/imone/sp_industries/
"UAB ""Silpnos srovės""
","
","Konstitucijos pr. 7, LT-09308 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; inžineriniai tinklai ir sistemos; vaizdo stebėjimo sistemos.
","
Džiaugiamės, kad renkatės UAB ""Silpnos srovės""! Kas mes esame. Esame komercinės paskirties pastatų saugumo sprendimų ir rizikų valdymo specialistai. Specializuojamės apsaugos, gaisro aptikimo ir signalizavimo, įeigos kontrolės, elektroninių ryšių ir vaizdo stebėjimo sistemų projektavime, diegime, aptarnavime ir...
",https://rekvizitai.vz.lt/imone/franceska/
"Engineer
","
","Savanorių pr. 178A, LT-03154 Vilnius.","
Veiklos sritys: inžineriniai tinklai ir sistemos; apsaugos sistemos patalpoms; elektros instaliacijos darbai; statyba.
","
UAB ""Engineer"" teikia pastatų inžinerinių tinklų projektavimo ir montavimo paslaugas. Konsultuojame ir padedame optimaliai suvaldyti investicijas į pastatų inžinierinių tinklų įrengimą.
",https://rekvizitai.vz.lt/imone/autometrija_v_laneckio_inovacine_firma/
"Hansab
","
","Savanorių pr. 180A, LT-03154 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; bankai, bankinės operacijos; priešgaisrinė sauga, sistemos.
","
UAB „Hansab“ – viena iš pirmaujančių novatoriškų apsaugos sprendimų kompanijų Baltijos šalyse, įkurta 1994 m. UAB „Hansab“ priklauso įmonių grupei „Hansab Group OÜ“, kuri vykdo verslo plėtrą bei centralizuotai koordinuoja „Hansab“ įmonių veiklą Lietuvoje, Latvijoje, Estijoje ir Suomijoje. Specializuojamės įvairių...
",https://rekvizitai.vz.lt/imone/hansab/
"IDM ENGINEERING
","
","Savanorių pr. 206, LT-50193 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; elektros instaliacijos darbai; inžineriniai tinklai ir sistemos.
","
Elektrotechnikos projektavimas, montavimas, konsultavimas: Lauko ir vidaus elektros instaliacijos; Lauko (teritorijų) ir vidaus apšvietimas; Elektros įvadų įrengimas; Žaibosauga; Apsauginių sistemų projektavimas, montavimas, konsultavimas: Apsauginės signalizacijos sistemos; Automobilių numerių nuskaitymo sistemos;...
",https://rekvizitai.vz.lt/imone/idm_engineering/
"Informacinių technologijų išmanūs sprendimai
","
ITIS
","Pelesos g. 5-322, LT-02115 Vilnius.","
Veiklos sritys: vaizdo stebėjimo sistemos; apsaugos sistemos patalpoms; interneto svetainių kūrimas, talpinimas; kompiuterių remontas, it paslaugos.
","
IT ūkio priežiūra ir aptarnavimas, kompiuterinės įrangos programinis ir techninis remontas: •Kompiuterinės įrangos ir jos dalių paieška ir pardavimas; •Stacionarių ir nešiojamų kompiuterių spartinimas ir remontas; •Išmaniųjų telefonų ir planšečių remontas; •Tinklo įrangos įvedimas, pajungimas ir konfigūravimas; •IT...
",https://rekvizitai.vz.lt/imone/informaciniu_technologiju_ismanus_sprendimai/
"IPSUM
","
","Čerpių g. 5, Neveronių k., LT-54488 Kauno r.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; inžineriniai tinklai ir sistemos; priešgaisrinė sauga, sistemos.
","
Ipsum - Elektros instaliacijos montavimo darbai. Žaibosaugos įrengimas. Apsauginės, priešgaisrinės signalizacijos, kompiuterinių tinklų įrengimas.
",https://rekvizitai.vz.lt/imone/ipsum/
"Išmani apsauga
","
","Laukų g. 10, Slengiai, LT-92338 Klaipėdos r.","
Veiklos sritys: didmeninė prekyba; apsaugos sistemos patalpoms; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
UAB “IŠMANI APSAUGA” Specializuotas vaizdo stebėjimo, priešgaistrinų, signalizacijos, išmanių namų, išmanių spynų sistemų platintojas bei instaliuotojas Lietuvoje. Dirbame visoje Lietuvoje! Mūsų pagrindinis filialas: Šilutės pl. 2, Klaipėda. Nuo veiklos pradžios nuolat domimės, renkame informaciją apie produktą ir...
",https://rekvizitai.vz.lt/imone/ismani_apsauga/
"Megaomas
","
partyzone.lt
","Birutės g. 2, LT-91200 Klaipėda.","
Veiklos sritys: apsaugos sistemos patalpoms; kompiuterių remontas, it paslaugos; vaizdo stebėjimo sistemos; video ir audio aparatūra, paslaugos, remontas.
","
UAB „Megaomas“ įkurta 1994 m. Klaipėdoje. Įmonės veikla paslaugų teikimas ir prekyba Montavimo paslaugos: Vaizdo stebėjimo sistemos Vaizdo stebėjimo kameros - puiki priemonė stebint apsaugoti savo turtą ar kontroliuoti darbo proceso eigą. Vaizdo stebėjimo kamerų ir jų sistemų pagalba galima užtikrinti patalpų...
",https://rekvizitai.vz.lt/imone/megaomas/
"PROTECTION SOLUTIONS
","
","Panerių g. 11, LT-03209 Vilnius.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms.
","
Apsaugos paslaugos visoje Lietuvoje. Mes padėsime Jums suprasti pagrindines grėsmes, kurios gali grėsti Jūsų nuosavybei, o gal net žmonių saugumui. Dirbsime su Jumis, kursime ir projektuosime saugumo strategiją, kurią rekomenduoja geriausi pasaulio apsaugos sistemų gamintojai. Mūsų darbuotojai, ypač daug dėmesio...
",https://rekvizitai.vz.lt/imone/protection_solutions/
"Seleris
","
","Miškų g. 12, Bernotiškiai, LT-20100 Ukmergės r.","
Veiklos sritys: video ir audio aparatūra, paslaugos, remontas; apsaugos sistemos patalpoms; elektros dalys ir įranga; vaizdo stebėjimo sistemos.
","
Garso, vaizdo ir silpnų srovių ekspertai. Elektroninė parduotuvė - Garsiau.lt. Biuro ir ekspozicijos adresas: Žygio g. 92, Vilnius LT-08242 Mūsų produktai ir paslaugos orientuoti į: - verslą: kavinės, parduotuvės, restoranai, sveikatingumo kompleksai, sporto klubai, sporto salės, stadionai, kt. - viešąjį sektorių:...
",https://rekvizitai.vz.lt/imone/seleris/
"SIRETA, J. Sruogiaus GKĮ
","
","P. Vileišio g. 14-36, LT-10306 Vilnius.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; telekomunikacijos, ryšio priemonės.
","
Valdymo automatikos skydai gaisro gesinimo, vidaus priešgaisrinio vandentiekio, dūmų šalinimo, viršslėgio sudarymo, vėdinimo ir kitoms pastatų inžinerinėms sistemoms. Projektavimas, gamyba, montavimas. Patalpų ir teritorijų apsaugos, stebėjimo, kontrolės ir ryšio sistemų projektavimas, montavimas ir techninis...
",https://rekvizitai.vz.lt/imone/sireta_j_sruogiaus_gki/
"Vyčio komisarai
","
","A. Mickevičiaus g. 56-2, LT-44244 Kaunas.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms; ginklai, savisaugos priemonės; vaizdo stebėjimo sistemos.
","
Fizinė, elektroninė, kombinuota apsauga. Kinologų paslaugos, dingusių asmenų paieška. Turto saugumas naudojant vaizdo stebėjimo sistemų naujausias technologijas. Renginių, klubų, privačių asmenų apsauga. Ginklų, vertybių saugykla. Krovinių palyda. Auditai, ekspertų paslaugos.
",https://rekvizitai.vz.lt/imone/vycio_komisarai/
"AKTKC
","
Apsaugos konsultacijų ir transporto kontrolės centras
","Taikos g. 130A, LT-05226 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms.
","
UAB „AKTKC“ – sėkmingai veikianti ir sparčiai auganti bendrovė, jau daugiau nei 10 metų teikianti kokybiškas telemetrijos paslaugas. Įmonės veikla apima:• Transporto stebėjimo ir kontrolės paslaugas (www.etransportas.lt)• Patalpų ir teritorijų nuolatinę techninę apsaugą bei jos valdymą.• Bendrąją pagalbą...
",https://rekvizitai.vz.lt/imone/apsaugos_konsultaciju_ir_transporto_kontroles_centras_aktkc/
"Altas IT
","
","Perkūno g. 4A, Avižienių k., LT-14186 Vilniaus r.","
Veiklos sritys: apsaugos sistemos patalpoms; didmeninė prekyba; vaizdo stebėjimo sistemos.
","
Padedame rasti unikalius technologinius sprendimus Jūsų verslo efektyvumo didinimui! UAB ,,Altas IT"" yra viena pirmųjų kompanijų pradėjusių diegti inovatyvias technologijas skirtas IP vaizdo stebėjimui Lietuvoje. Šioje srityje turime sukaupę didelę patirtį ir užsitarnavę gerą vardą rinkoje. Dėka kvalifikuotų...
",https://rekvizitai.vz.lt/imone/altas_it/
"AlterNetas
","
","Tarandės g. 2, LT-14188 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; elektros instaliacijos darbai; inžineriniai tinklai ir sistemos; vaizdo stebėjimo sistemos.
","
Saugūs, taupūs, išmanūs namai Saugūs: apsaugos sistemų montavimas, vaizdo stebėjimo sistemų montavimas, priešgaisrinės sistemos montavimas, elektros intaliacijos montavimas, domofonų/telefonspynių montavimas, vaizdo ir garso sistemų montavimas, automatikos montavimas, kompiuteriniai ir silpnų srovių tinklai...
",https://rekvizitai.vz.lt/imone/alternetas/
"Deisima
","
","Tilžės g. 68, LT-78157 Šiauliai.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; architektai; elektros dalys ir įranga.
","
UAB DEISIMA įmonė kuri klientus rezultatais džiugina jau 8 metai, yra orientuota į elektros komunikacijų statybą, elektronikos, apsaugos, automatikos ir kontrolės sprendimus. Įmonės vizija Suteikti aukščiausios kokybės inžinerines paslaugas už prieinamą kainą privatiems ir viešiems objektams,taikant aplinkai...
",https://rekvizitai.vz.lt/imone/deisima/
"Eldes
","
","Ukmergės g. 283B-3, LT-06313 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros dalys ir įranga; gamyba; telekomunikacijos, ryšio priemonės.
","
Elektroninė įranga, prietaisai, signalizacijos ir apsaugos sistemos butams, objektams, projektavimas, gamyba: Nestandartinės mikroprocesorinės ir analoginės elektronikos bei automatikos įrangos gamyba, skirta apsaugos (alarmo) sistemų ir kitų elektroninių įrenginių nuotoliniam belaidžiam valdymui, monitoringui...
",https://rekvizitai.vz.lt/imone/eldes/
"Elgrid
","
","Europos pr. 122, LT-46351 Kaunas.","
Veiklos sritys: projektavimas; apsaugos sistemos patalpoms; elektros instaliacijos darbai.
","
Visų elektros, ryšių, signalizacijų ir automatizacijos sistemų ir tinklų projektavimo paslaugos. Visų šių dalių projektavimo paslaugos Nekilnojamojo Kultūros paveldo teritorijose, objektuose ir statiniuose, kuriuose reikalingi SPSC ir LR Kultūros ministerijoje išduoti atestatai. Teikiamos paslaugos: Elektrotechnika...
",https://rekvizitai.vz.lt/imone/elgrid/
"Firema
","
","Chemijos g. 23, LT-51332 Kaunas.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; automatizavimas, automatika; inžineriniai tinklai ir sistemos.
","
UAB FIREMA siūlo jums visas elektros darbų paslaugas iki 10kV. Elektrotechnikos, silpnų srovių, automatikos ir elektroninių ryšių darbų projektavimo ir montavimo, bei konsultavimo paslaugas: Elektrotechnikos projektavimas, montavimas, konsultavimas: Lauko ir vidaus elektros instaliacijos; Lauko (teritorijų) ir...
",https://rekvizitai.vz.lt/imone/firema/
"Fortūna
","
","Vinco Kudirkos g. 9, LT-03105 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; durys, raktai, spynos; telekomunikacijos, ryšio priemonės.
","
Telefonspynės - prekyba, montavimas, priežiūra ir remontas. Plieninės durys laiptinėms. Puiki kokybė. Geros kainos. Lietuvos rinkoje nuo 1995 metų. UAB ""Fortūna"" prekiauja ir montuoja telefonspynes atitinkačias šiuolaikinius techninius reikalavimus. Tai pažymi privalomas CE sertifikatas. Įmonė yra telefonspynių...
",https://rekvizitai.vz.lt/imone/fortuna/
"G&B Sistemos
","
","Savanorių pr. 363-311, LT-51480 Kaunas.","
Veiklos sritys: kompiuteriai ir programinė įranga; apsaugos sistemos patalpoms; kompiuterių programinės įrangos kūrimas; kompiuterių remontas, it paslaugos.
","
UAB “G&B sistemos” buvo įkurta 2006 m. Šiuo metu įmonė veikia jau ne tik Lietuvoje, bet ir Latvijoje. Sparčiai plėstis mums padeda profesionalus požiūris į vykdomą veiklą ir itin glaudus bendradarbiavimas su klientais aiškinantis jų poreikius. Mes esame tam, kad Jums nebereikėtų rūpintis savo IT ūkiu. Skirkite visą...
",https://rekvizitai.vz.lt/imone/gb_sistemos/
"Garso impulsas
","
","Laisvės g. 2A, LT-90163 Plungė.","
Veiklos sritys: automobilių garso ir apsaugos sistemos; apsaugos sistemos patalpoms; televizija ir radijas; video ir audio aparatūra, paslaugos, remontas.
","
Garso aparatūra automobiliams, montavimas. Automagnetolos, garsiakalbiai, stiprintuvai, žemadažniai garsiakalbiai, kondensatoriai, pajungimo laidai, įvair0s priedai. Koncertinė garso ir šviesos aparatūra. Aktyvios kolonėlės, bosinės kolonėlės, stiprintuvai, mikrofonai, mikšeriniai pultai, pajungimo laidai, dūmų...
",https://rekvizitai.vz.lt/imone/garso_impulsas/
"Gistata
","
","Žvilgių g. 25, Žvilgių k., LT-86438 Kelmės r.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; elektros instaliacijos darbai; elektros montavimo medžiagos.
","
IĮ ,,Gistata“ atlieka įvairius elektromontavimo darbus. Esame jauna ir veržli įmonė, tačiau nereikėtu apsigauti – mūsų suburtas, pakankamai patirties įgijęs ir kvalifikuotas personalas atliks bet kokias jam patikėtas užduotis. Prioritetus skiriame objektams kuriuose gausu nestandartiniu sprendimu bei iššūkių...
",https://rekvizitai.vz.lt/imone/gistata/
"Išmanieji namai
","
SENSIS
","Beržų g. 5, Gargždai, LT-96147 Klaipėdos r.","
Veiklos sritys: automatizavimas, automatika; apsaugos sistemos patalpoms; elektros instaliacijos darbai; šviesos sistemos, šviestuvai.
","
Suburta geriausių ir turinčių ilgametę patirtį specialistų komanda Jums gali kokybiškai atlikti elektros, išmaniųjų namų, apsauginės signalizacijos, vaizdo stebėjimo sistemų, kompiuterinių tinklų montavimo darbus. Partnerystė su mūsų įmone užtikrins Jums galimybę naudotis naujausiomis technologijomis Jūsų namuose...
",https://rekvizitai.vz.lt/imone/ismanieji_namai/
"Išmaniųjų namų sprendimai
","
SENSIGE
","K. Korsako g. 3-19, LT-78357 Šiauliai.","
Veiklos sritys: kompiuteriai ir programinė įranga; apsaugos sistemos patalpoms; automatizavimas, automatika; projektavimas.
","
Smart sprendimai. Išmaniųjų namų įranga. Fibaro, Zipato, KNX, Z-Wave, ABB, GIRA, JUNG, BILTON, BUSCH-JAEGER, SIEMENS, BERKER, Elsner, Hager, HDL, Schnider Electric, Zennio.
Promoninės įrangos prekyba, nauji ir naudoti: robotai, konvenjeriai, palečių vyniotuvai ir kt.
",https://rekvizitai.vz.lt/imone/ismaniuju_namu_sprendimai/
"Redpcline servisas
","
","Girulių g. 10, LT-12112 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; telekomunikacijos, ryšio priemonės; vaizdo stebėjimo sistemos.
","
Ieškote patikimos, greitos, prieinamos įmonės, kuri galėtų padėti apsaugoti jūsų namus ar verslą? Pasikliaukite mumis! Redpcline komanda greitai reaguos į visus jūsų poreikius ir pasiūlys geriausias kainas. Skambinkite mums dabar ir gaukite nemokamą pasiūlymą šiandiena!
",https://rekvizitai.vz.lt/imone/redpcline_servisas/
"Sareme
","
","Vytenio g. 46, LT-03229 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; vaizdo stebėjimo sistemos.
","
1. APSAUGOS SISTEMOS: Įsilaužimo signalizacija Priešgaisrinė signalizacija Vaizdo stebėjimo sistemos Įėjimo kontrolės sistemos Telefonspynės Pagrindinio rakto sistemos Perimetro saugos sistemos 2. ASMENINĖ GREITOJI PAGALBA 3. INFORMACINIŲ TECHNOLOGIJŲ SISTEMOS 3.1. INTELEKTUALUS NAMAS 3.2 KOMPIUTERINIŲ TINKLŲ...
",https://rekvizitai.vz.lt/imone/sareme/
"TECHSAUGA
","
","Turgelių g. 8A, LT-02103 Vilnius.","
Veiklos sritys: vaizdo stebėjimo sistemos; apsaugos sistemos patalpoms; individuali veikla; priešgaisrinė sauga, sistemos.
","
“Techsauga.lt” - mažmeninė prekyba apsaugos, vaizdo stebėjimo,priešgaisrinėmis sistemomis bei kompiuteriais ir jų priedais: Vaizdo stebejimo sistemos Apsauginių signalizacijų sistemos Gaisro signalizacijų sistemos Praėjimo kontrolės sistemos Įeigos kontrolės sitemomis Išmaniujų namų sistemomis Kompiuteriai ir jų...
",https://rekvizitai.vz.lt/imone/techsauga/
"Transdirektas
","
","Gamybos g. 11, LT-62175 Alytus.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; telekomunikacijos, ryšio priemonės; vaizdo stebėjimo sistemos.
","
PARDAVIMAS IR MONTAVIMAS Vaizdo stebėjimo sistema Apsauginė signalizacija Gaisrinė signalizacija Praėjimo kontrolė Telefonspynės Kompiuterinių tinklų įranga Vidaus elektros darbai MŪSŲ ĮMONĖS PRIVALUMAI Prekiaujame žinomų gamintojų įranga geriausiomis kainomis Atliekame darbus nuo A iki Z, pradedant montavimu ir...
",https://rekvizitai.vz.lt/imone/transdirektas/
"IĮ ""Vidiksa""
","
","Rygos 52-128, LT-05272 Vilnius.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms; elektros instaliacijos darbai.
","
IĮ VIDIKSA įkurta 2008 m. liepos 2 d. kaip saugos tarnyba. Policijos departamento prie Lietuvos Respublikos Vidaus reikalų ministerijos išduota licencija suteikia teisę įmonei, atliekant asmens ir turto saugą, naudoti kovinius ginklus ir specialiąsias priemones. Vykdome fizinės ir elektroninės apsaugos paslaugas...
",https://rekvizitai.vz.lt/imone/ii_vidiksa/
"Apsaugos komanda
","
","Žirmūnų g. 139, LT-09120 Vilnius.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms; vaizdo stebėjimo sistemos.
","
UAB ""Apsaugos komanda"" šiuo metu teikiamos paslaugos: Techninė objektų apsauga. Vykdome objektų, prijungtų prie centrinio stebėjimo pulto, apsaugą. Šios paslaugos teikimui bendrovė naudoja kompiuterizuotus apsaugos pultus: telefoninio, radijo bangų, GSM ir internetinio ryšio. Budėjimas postuose ir teritorijose...
",https://rekvizitai.vz.lt/imone/apsaugos_komanda/
"Audionas
","
","Kranto g. 11-3, LT-35173 Panevėžys.","
Veiklos sritys: apsaugos sistemos patalpoms; statyba; statybinės medžiagos; vaizdo stebėjimo sistemos.
","
Vaizdo stebėjimo ir patalpų apsaugos sistemų montavimas, įrangos prekyba, sistemų techninė priežiūra.
",https://rekvizitai.vz.lt/imone/audionas/
"ČAIKA LT
","
","Laukų g. 19, Kuršėnai, LT-81201 Šiaulių r.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
ČAIKA LT – profesionali veiklos patirtis nuo 2011 metų, reikiama darbuotojų kvalifikacija bei moderni montavimo darbų technika padeda įmonei kokybiškai ir patikimai atlikti visus elektros ir silpnų srovių montavimo darbus. Mes renkamės gamintojus kurių tiekiamos įrangos atitinka ISO 9001:2000 standartų...
",https://rekvizitai.vz.lt/imone/caika_lt/
"Enity LT
","
","Ukmergės g. 223-4, LT-07156 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; biuro įranga; kompiuteriai ir programinė įranga; kompiuterių programinės įrangos kūrimas.
","
„Enity“ įmonių grupė dirba visose trejose Baltijos šalyse. Mūsų ilgametė patirtis leidžia užsakovams pasiūlyti aukščiausios klasės sprendimus. Daugiausiai dėmesio skiriame būtent kokybiškiems sprendimams ir paslaugoms. Mūsų naudojamas inovatyvios verslo valdymo sistemos ir didžiulė patirtis valdant tokius...
",https://rekvizitai.vz.lt/imone/it_sistemos/
"Euroelektronika
","
","Partizanų g. 22A, LT-50217 Kaunas.","
Veiklos sritys: vaizdo stebėjimo sistemos; apsaugos sistemos patalpoms; automatizavimas, automatika; priešgaisrinė sauga, sistemos.
","
Kompetentingas inžinierinių sprendimų integratorius – nuo pat savo įkūrimo 1993 metais UAB „Euroelektronika“ specializuojasi išskirtinai elektroninių saugos sistemų ir silpnų srovių projektavime, diegime ir priežiūroje. Veikla grįsta tarptautiniais kokybės valdymo standartais. 24/7 gedimų ir pagalbos centras veikia...
",https://rekvizitai.vz.lt/imone/euroelektronika/
"Lanksti apsauga
","
","V. Krėvės pr. 85-44, LT-50364 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Elektroninės ir optinės įrangos remontas; elektros įrangos remontas; pramoninių mašinų ir įrangos įrengimas; komunalinių elektros ir telekomunikacijos statinių statyba; elektros, vandentiekio ir kitos įrangos įrengimas; variklinių transporto priemonių ir motociklų didmeninė ir mažmeninė prekyba bei remontas;...
",https://rekvizitai.vz.lt/imone/lanksti_apsauga/
"Nemovida
","
","Žirmūnų g. 57-50, LT-09110 Vilnius.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; elektros dalys ir įranga; telekomunikacijos, ryšio priemonės.
","
",https://rekvizitai.vz.lt/imone/nemovida/
"Preneta
","
","Draugystės g. 1G, Bernatoniai, LT-35115 Panevėžys.","
Veiklos sritys: metalas, apdirbimas, gaminiai; apsaugos sistemos patalpoms; metalo konstrukcijos, angarai; sandėliavimas.
","
UAB „Preneta“ viena iš pirmųjų pradėjo teikti profesionalias logistikos objektų inspektavimo paslaugas Baltijos šalyse – specializuojamės sandėliavimo patalpų, stelažų priežiūros ir remonto srityse. Taip pat sėkmingai bendradarbiaujame su prekybos įmonėmis ir gamyklomis. Daugiau nei penkerius metus veikiančioje...
",https://rekvizitai.vz.lt/imone/preneta/
"UAB ""Prim prekyba""
","
DAHUA | ALANTEC
","Naujoji Riovonių g. 25, LT-03153 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; didmeninė prekyba; elektros dalys ir įranga; vaizdo stebėjimo sistemos.
","
UAB „Prim prekyba“, apsaugos technologijų srityje dirba nuo 2010 metų. Įmonės veikla susijusi su šiomis kryptimis: - Įeigos kontrolės sistemomis - Apsaugos sistemomis - Video stebėjimo sistemomis - Priešgaisrinėmis sistemomis - Kompiuterinių tinklų sistemomis - Elektros įrangos sistemomis - Avarinių ir viešųjų...
",https://rekvizitai.vz.lt/imone/uab_prim_prekyba/
"Saugesa
","
","K. Korsako g. 105, LT-78367 Šiauliai.","
Veiklos sritys: apsaugos sistemos patalpoms; interneto parduotuvės; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
MB ""Saugesa"" yra ribotos civilinės atsakomybės įmonė, ne PVM mokėtoja, besispecializuojanti patalpų apsaugos, gaisro bei vaizdo stebėjimo sistemų pardavime ir montavime. Nors įmonė įkurta dar tik nesenai, 2023 metais Kovo 23 dieną, tačiau esame pilni entuziazmo ir siekiame aukščiausių rezultatų. Šioje srityje...
",https://rekvizitai.vz.lt/imone/saugesa/
"SAUGINTA
","
","Lazdynų g. 21, LT-04129 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; vaizdo stebėjimo sistemos.
","
APSAUGOS IR STEBĖJIMO SISTEMOS : - fizinė objektų apsauga; - centralizuota objektų apsauga; - apsauginės, priešgaisrinės signalizacijos montavimas; - vaizdo stebėjimo ir praėjimo kontrolės sistemos; - elektros instaliacijos darbai; - izoliacijos ir įžeminimo varžų matavimai; - techninė sistemų priežiūra ir remontas...
",https://rekvizitai.vz.lt/imone/sauginta/
"Spectra Baltic
","
","Baltų pr. 145, LT-47125 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; elektros dalys ir įranga; elektros montavimo medžiagos.
","
UAB „Spectra Baltic“ – įmonė, priklausanti Spectra Group įmonių grupei, kuri jau 27 metus sėkmingai veikia elektroninių saugos sistemų rinkoje. UAB „Spectra baltic“ siūlo labai platų komponentų asortimentą įvairioms sistemoms: nuo apsaugos, kompiuterinių tinklų, automatikos iki buitinių sistemų. Įmonė užsiima...
",https://rekvizitai.vz.lt/imone/spectra_baltic/
"Ugnivita
","
","Taikos pr. 24-6, LT-91222 Klaipėda.","
Veiklos sritys: priešgaisrinė sauga, sistemos; apsaugos sistemos patalpoms; darbo sauga; pastatų administravimas.
","
TEIKIAMOS PASLAUGOS: * Gesintuvų patikros, pildymas, remontas * Gaisrinių žarnų patikra ( hidraulinis bandymas, perkantavimas ) * Čiaupų patikra * Evakuacinių planų braižymas PREKIAUJAME: * Ugnies gesintuvais * Gaisrinėmis žarnomis * Absorbentais * Gaisrinėmis dėžėmis * Nedegiais audeklais * Fosforiniais saugos...
",https://rekvizitai.vz.lt/imone/ugnivita/
"Altronas
","
","Žiburio g. 5, LT-63239 Alytus.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; inžineriniai tinklai ir sistemos; vaizdo stebėjimo sistemos.
","
Apsaugos sistemos.
Priešgaisrinės signalizacijos sistemos.
Telefonspybės, praėjimo kontrolės sistemos.
Vaizdo stebėjimo sistemos.
Kompiuteriniai tinklai.
Elektrotechniniai darbai.
Projektavimas – Montavimas – Aptarnavimas
",https://rekvizitai.vz.lt/imone/uab_altronas/
